inga,espanol
IAIA JESUSMANDA  ALLI WILLAITA  SAN MATEOMI WILLA,MATEO
<CAP>,Capítulo 1
1 Jesucristopa ñugpa manda achala taita kuna kasasik suti karka kuna.  Pai Jesús atun taita David i Abrahampa iawarsik karka.,1 Libro de la genealogía de Jesucristo hijo de David hijo de Abraham.
2 Abra ham Isaak suti wawata iukarka.  Isaakka Jakob suti wawata iukarka.  Jakobka Judá suti i sug waugkindikunatapas iukarka.,2 Abraham engendró a Isaac; Isaac engendró a Jacob; Jacob engendró a Judá y a sus hermanos;
3 Judaka Fares i Zara suti wawa kunata iukarka.  Paikunapa mamaka Tamar suti karka.  Fareska Esrom suti wawata;  Esromka Aram suti wawata;,3 Judá engendró de Tamar a Fares y a Zéraj; Fares engendró a Hesrón; Hesrón engendró a Aram;
4 Aramka Aminadab suti wawata;  Aminadabka Naasón suti wawata;  Naasonka Salmón suti wawata;,4 Aram engendró a Aminadab; Aminadab engendró a Najsón; Najsón engendró a Salmón;
5 Salmonka Booz suti wawata iukarka.  Boozpa mamaka Rahab suti karka.  Boozka Obed suti wawata iukarka.  Obedpa mamaka Rut suti karka.  Obedka Isaí suti wawata iukarka.,5 Salmón engendró de Rajab a Boaz; Boaz engendró de Rut a Obed; Obed engendró a Isaí;
6 Isaika atun mandag Davidta iukarka.  Davidka Salomón suti wawata iukarka.  Paipa mamaka Uriaspa warmi kaska karka.,6 Isaí engendró al rey David. David engendró a Salomón de la que fue mujer de Urías;
7 Salomonka Roboam suti wawata;  Roboamka Abías suti wawata;  Abiaska Asa suti wawata;,7 Salomón engendró a Roboam; Roboam engendró a Abías; Abías engendró a Asa;
8 Asaka Josafat suti wawata;  Josafatka Joram suti wawata;  Joramka Uzías suti wawata;,8 Asa engendró a Josafat; Josafat engendró a Joram; Joram engendró a Uzías;
9 Uziaska Jotam suti wawata;  Jotamka Akaz suti wawata;  Akazka Ezekías suti wawata;,9 Uzías engendró a Jotam; Jotam engendró a Acaz; Acaz engendró a Ezequías;
10 Ezekiaska Manasés suti wawata;  Manaseska Amón suti wawata;  Amonka Josías suti wawata iukarka.,10 Ezequías engendró a Manasés; Manasés engendró a Amón; Amón engendró a Josías;
11 Josiaska Jekonías suti i sug waugkindikunatapas iukarka.  Paikuna kaugsanakunkama Israel alpamanda runakuna Babilonia suti  alpama prisu apai tukurkakuna.,11 Josías engendró a Jeconías y a sus hermanos en el tiempo de la deportación a Babilonia.
12 Chi alpama apai tukuskapi  Jekoniaska Salatiel suti wawata iukarka.  Salatielka Zorobabel suti wawata;,12 Después de la deportación a Babilonia Jeconías engendró a Salatiel; Salatiel engendró a Zorobabel;
13 Zorobabelka Abiud suti wawata;  Abiudka Eliakim suti wawata;  Eliakimka Azor suti wawata;,13 Zorobabel engendró a Abiud; Abiud engendró a Eliaquim; Eliaquim engendró a Azor;
14 Azorka Sadok suti wawata;  Sadokka Akim suti wawata;  Akimka Eliud suti wawata;,14 Azor engendró a Sadoc; Sadoc engendró a Aquim; Aquim engendró a Eliud;
